Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,category
39828,Text,2012-05-28,"Early American Plays, 1714-1830
A Compilation of the Titles of Plays and Dramatic Poems Written by Authors Born in or Residing in North America Previous to 1830",en,"Wegelin, Oscar, 1876-1970",American drama -- Bibliography,Z,,Z
39894,Text,2012-06-01,"Roman Sepulchral Inscriptions
Their Relation to Archæology, Language, and Religion",en,"Kenrick, John, 1788-1877","Epitaphs -- Rome; Inscriptions, Latin",CN,,C
39917,Text,2012-06-05,Narrative of an Expedition to the Shores of the Arctic Sea in 1846 and 1847,en,"Rae, John, 1813-1893","Arctic regions; Scientific expeditions; Northwest, Canadian",G,Travel,G
40023,Text,2012-06-18,Monograms & Ciphers,en,"Carlton Studio; Turbayne, A. A. (Albert Angus), 1866-1940",Monograms,NK,,N
40032,Text,2012-06-18,Mexico,en,"Hale, Susan, 1833-1910",Mexico -- History,F1201,,F
40036,Text,2012-06-18,Tramping with Tramps: Studies and Sketches of Vagabond Life,en,"Flynt, Josiah, 1869-1907",Tramps,HV,,H
40057,Text,2012-07-16,"The Life of Florence Nightingale, vol. 1 of 2",en,"Cook, Edward Tyas, Sir, 1857-1919","Nightingale, Florence, 1820-1910",UH,,U
40058,Text,2012-07-16,"The Life of Florence Nightingale, vol. 2 of 2",en,"Cook, Edward Tyas, Sir, 1857-1919","Nightingale, Florence, 1820-1910",UH,,U
40076,Text,2012-06-24,Atrocious Judges : Lives of Judges Infamous as Tools of Tyrants and Instruments of Oppression,en,"Campbell, John Campbell, Baron, 1779-1861; Hildreth, Richard, 1807-1865 [Editor]",Judges -- England -- Biography; Political questions and judicial power -- England -- History; Judicial corruption -- England -- History,KD,,K
40079,Text,2012-06-25,The Philosophy of Disenchantment,en,"Saltus, Edgar, 1855-1921",Pessimism,B,,B
40118,Text,2012-07-01,The Religious Tract Society Catalogue - 1889,en,Religious Tract Society (Great Britain),Publishers' catalogs -- England -- London; Religious Tract Society (Great Britain) -- Catalogs,Z,,Z
40208,Text,2012-07-11,"Life of Thomas Paine
Written Purposely to Bind with His Writings",en,"Carlile, Richard, 1790-1843","Paine, Thomas, 1737-1809",JC,,J
40229,Text,2012-07-14,"History of Randolph-Macon College, Virginia
The Oldest Incorporated Methodist College in America",en,"Irby, Richard, 1825-1902",Randolph-Macon College; Randolph-Macon Woman's College,LD,,L
40339,Text,2012-07-26,Selections from the Observator (1681-1687),en,"L'Estrange, Roger, Sir, 1616-1704; Jordain, Violet [Author of introduction, etc.]","Character sketches -- Early works to 1800; Great Britain -- Politics and government -- 1660-1688; Dialogues, English",DA,,D
40479,Text,2012-08-11,In the Foreign Legion,en,"Rosen, Erwin, 1876-1923","Algeria -- History -- 1830-1962; France. Armée. Légion étrangère; Rosen, Erwin, 1876-1923",UA,,U
40535,Text,2012-08-19,They Who Knock at Our Gates: A Complete Gospel of Immigration,en,"Antin, Mary, 1881-1949; Stella, Joseph, 1877-1946 [Illustrator]",Aliens -- United States; United States -- Emigration and immigration,JV,,J
40580,Text,2012-08-25,"A General History of the Pyrates:
from their first rise and settlement in the island of Providence, to the present time",en,"Defoe, Daniel, 1661?-1731",Pirates -- Early works to 1800,G; F2155,,G
40606,Text,2012-08-28,The Legal Position of the Clergy,en,"Smith, Philip Vernon, 1845-1929","Clergy -- Legal status, laws, etc. -- Great Britain; Ecclesiastical law -- Great Britain; Canon law",KD,,K
40679,Text,2012-09-05,"History of the Origin, Formation, and Adoption of the Constitution of the United States, Vol. 2
With Notices of Its Principle Framers",en,"Curtis, George Ticknor, 1812-1894",Constitutional history -- United States,KF,,K
40709,Text,2012-09-08,Facts and Figures Concerning the Hoosac Tunnel,en,"Piper, John J., -1869",Railroad tunnels -- Massachusetts; Hoosac Tunnel (Mass.); Railroads -- Massachusetts; Tunnels -- Massachusetts,HE; TA,,H
40731,Text,2012-09-11,"Tenting on the Plains; or, General Custer in Kansas and Texas",en,"Custer, Elizabeth Bacon, 1842-1933","Generals -- United States -- Biography; Frontier and pioneer life -- West (U.S.); West (U.S.) -- History -- 1860-1890; United States. Army -- Biography; Custer, George A. (George Armstrong), 1839-1876; Custer, Elizabeth Bacon, 1842-1933; United States. Army -- Military life -- History -- 19th century",F590.3,,F
40744,Text,2012-09-13,Psychology and Social Practice,en,"Dewey, John, 1859-1952",Sociology; Psychology,BF,,B
